   4.1590322e+02   4.0865519e+02   4.5299054e+02   4.7564812e+02   3.7491556e+02   2.6910166e+02   4.6004452e+02   3.1647496e+02   4.7303948e+02   3.8157753e+02   4.7952459e+02   2.8207046e+02   3.6197947e+02   6.1692126e+02   3.8613517e+02   3.4167009e+02   4.5305198e+02   6.6292208e+02   3.9343165e+02   2.7139969e+02   3.7870729e+02   3.6471142e+02   5.5261778e+02   3.8672495e+02   2.6969130e+02   4.4329503e+02   3.4164694e+02   2.7777278e+02   4.5658593e+02   5.0934202e+02
   3.0295185e+02   3.8765513e+02   4.0249307e+02   4.7564812e+02   3.5945631e+02   2.6910166e+02   4.2648996e+02   3.1647496e+02   4.1114507e+02   3.8157753e+02   4.4452743e+02   2.6161694e+02   3.4658234e+02   5.0375333e+02   3.8189693e+02   3.4167009e+02   3.7816589e+02   3.8682787e+02   3.3252210e+02   2.6936277e+02   3.7870729e+02   3.6471142e+02   4.2477928e+02   3.7545596e+02   2.6969130e+02   4.1599287e+02   2.7129980e+02   2.7777278e+02   4.3638262e+02   4.9323718e+02
   3.0295185e+02   3.8765513e+02   4.0249307e+02   3.3790819e+02   3.5443578e+02   2.6910166e+02   4.2648996e+02   3.0611691e+02   3.2550895e+02   3.8157753e+02   3.4402413e+02   2.6161694e+02   3.3133101e+02   4.6543618e+02   3.8189693e+02   3.4062034e+02   3.7816589e+02   3.8574561e+02   3.3252210e+02   2.6936277e+02   3.1458312e+02   3.6471142e+02   4.0972729e+02   2.4958942e+02   2.6969130e+02   3.7092445e+02   2.7129980e+02   2.7456855e+02   4.3447373e+02   4.9323718e+02
   2.9287735e+02   3.1968103e+02   3.6995056e+02   3.3790819e+02   3.4020753e+02   2.6910166e+02   3.9690723e+02   2.8226338e+02   3.0049931e+02   2.4270099e+02   3.1012124e+02   2.6161694e+02   3.3133101e+02   3.8748092e+02   3.4649802e+02   2.9928203e+02   3.7816589e+02   3.6854985e+02   3.2819775e+02   2.3343168e+02   3.0366912e+02   3.5052067e+02   4.0713748e+02   2.1086581e+02   2.6506113e+02   3.5524444e+02   2.7129980e+02   2.6533610e+02   3.2552507e+02   4.1148232e+02
   2.9287735e+02   3.1968103e+02   3.0868842e+02   2.6986518e+02   2.7637596e+02   2.3664289e+02   2.7672102e+02   2.4813115e+02   2.5294214e+02   2.4081936e+02   2.3911922e+02   2.5868990e+02   2.7770663e+02   3.0298819e+02   2.7203339e+02   2.9518115e+02   2.5277037e+02   2.5923383e+02   2.8065620e+02   2.2411679e+02   2.5948452e+02   2.3989916e+02   2.4834147e+02   2.1086581e+02   2.5330035e+02   2.4834791e+02   1.9536862e+02   2.6033008e+02   2.8563637e+02   2.9215286e+02
   2.3220551e+02   2.1139357e+02   2.3195471e+02   1.9783277e+02   2.5574545e+02   2.0108119e+02   2.3876184e+02   2.3885020e+02   1.8457681e+02   1.9622240e+02   2.1211964e+02   2.3622951e+02   2.5252656e+02   2.2061652e+02   2.4455648e+02   2.4841273e+02   2.1522962e+02   2.5921950e+02   2.4960839e+02   2.2411679e+02   2.5948452e+02   2.3559581e+02   2.3667641e+02   2.0134354e+02   2.2015143e+02   2.1572924e+02   1.9487710e+02   2.2880095e+02   2.5688423e+02   2.2819565e+02
   2.2093393e+02   1.9816713e+02   2.2779948e+02   1.9632525e+02   2.1556487e+02   1.8937009e+02   1.8535609e+02   2.2037008e+02   1.8326061e+02   1.9544541e+02   1.9015598e+02   2.2909309e+02   2.0666654e+02   2.0747611e+02   2.1291164e+02   2.0722570e+02   1.9067127e+02   2.3450508e+02   2.1570543e+02   2.0347747e+02   2.0946790e+02   1.9082988e+02   2.2174626e+02   1.9785872e+02   1.9411240e+02   2.0007462e+02   1.8842572e+02   1.9917886e+02   2.0948353e+02   2.2819565e+02
   1.7954108e+02   1.7453330e+02   1.8104889e+02   1.7802968e+02   1.7796195e+02   1.7381183e+02   1.8073660e+02   1.7831790e+02   1.8122539e+02   1.8608825e+02   1.7791383e+02   1.9443177e+02   1.8605788e+02   1.8209745e+02   1.8963663e+02   1.9320339e+02   1.8732127e+02   1.8726984e+02   1.8372640e+02   1.9787300e+02   1.8343811e+02   1.8118677e+02   1.9377829e+02   1.8259781e+02   1.7609693e+02   1.8100782e+02   1.8301512e+02   1.8353070e+02   1.8502065e+02   1.8591392e+02
   1.6917374e+02   1.7042025e+02   1.7550455e+02   1.7093843e+02   1.7314235e+02   1.7127467e+02   1.7483159e+02   1.7102484e+02   1.7278543e+02   1.7724746e+02   1.7560273e+02   1.7725599e+02   1.7045685e+02   1.7643472e+02   1.7512158e+02   1.7493543e+02   1.7375353e+02   1.7645900e+02   1.8133652e+02   1.7994049e+02   1.7436002e+02   1.7511294e+02   1.7711681e+02   1.7596406e+02   1.7108947e+02   1.7039967e+02   1.7522279e+02   1.7574706e+02   1.7295390e+02   1.7500728e+02
   1.6738310e+02   1.6885852e+02   1.6897405e+02   1.7061863e+02   1.6845488e+02   1.6821797e+02   1.7029520e+02   1.6811359e+02   1.6834985e+02   1.7127207e+02   1.7023871e+02   1.6973669e+02   1.6805443e+02   1.7145079e+02   1.7037602e+02   1.7043092e+02   1.7007459e+02   1.7144205e+02   1.7320497e+02   1.7194575e+02   1.7119070e+02   1.7034612e+02   1.6829735e+02   1.6782661e+02   1.6773335e+02   1.6676804e+02   1.7023046e+02   1.7100883e+02   1.7029243e+02   1.7041239e+02
