97.2347	96.7015	88.6646	76.3647	85.5724	89.3967	75.9897	73.3238	84.7278	76.7799	67.701	56.0208	79.9759	81.387	48.9785	87.5332	64.9156	84.0856	83.0566	79.6204	84.2739	82.8454	64.4446	86.5747	71.8389	100.228	61.8475	68.5589	83.1114	80.232	
85.8886	81.404	72.2679	68.6864	73.631	89.3967	66.8418	72.8759	71.4701	66.8593	67.701	56.0208	79.9759	61.8054	48.9785	62.5896	64.9156	82.3439	83.0566	74.869	84.2739	62.8226	64.4446	82.7451	71.8389	58.3542	61.8475	68.5589	78.3686	80.232	
66.8055	81.404	63.6837	59.2564	73.631	45.0106	66.8418	57.9907	71.4701	66.8593	67.701	52.6551	66.0964	61.8054	48.9785	47.1235	47.8614	78.3157	75.6543	68.2426	77.7415	62.8226	64.4446	65.0515	71.8389	57.3661	50.0928	68.5589	61.4812	52.777	
58.6726	59.2277	39.9071	59.2564	30.2651	45.0106	50.2754	47.1449	57.2239	66.8593	54.9165	52.6551	60.7847	53.8783	48.9785	47.1235	47.8614	45.4142	41.4945	62.4522	58.0246	54.5954	48.4907	65.0515	48.1216	57.3661	47.1728	49.6	40.1055	52.777	
44.5767	47.1696	39.9071	39.4207	30.2651	34.6782	48.2626	32.128	42.069	42.4377	48.4712	52.6551	44.822	47.3951	40.0449	41.3446	41.2213	39.2417	40.6183	49.0886	40.9238	42.2427	44.3794	45.1395	41.0127	44.1027	31.035	40.5092	40.1055	52.777	
40.9477	31.3899	21.5963	25.4986	27.1918	34.6782	34.8011	32.128	27.7917	36.4734	35.4037	23.6006	31.5833	29.2832	30.8748	28.4972	27.0466	38.5231	26.0099	32.1166	34.2055	30.3836	29.3945	28.5067	29.6427	34.2136	27.0432	40.5092	33.4137	34.7697	
23.961	22.2302	14.0184	21.7399	23.5406	21.357	22.7012	17.2723	18.606	15.4456	21.2333	23.6006	24.7293	12.9777	15.0099	17.2393	18.1415	21.9032	16.8415	21.7497	20.1178	25.2902	9.76327	25.8033	17.3339	20.1321	22.8126	11.578	20.9009	28.4951	
10.0119	9.46093	9.87033	10.6418	13.3618	8.85496	9.33338	9.57934	11.1173	10.1002	13.1898	13.1161	13.2832	7.58691	6.99018	9.19997	9.81287	11.2519	7.1002	10.9769	12.5407	11.1864	9.76327	14.9245	10.0253	11.6912	11.8668	8.38311	10.6156	11.8025	
3.76403	3.0854	2.8954	3.46282	2.90698	2.79549	4.70056	2.6397	3.61701	3.43732	4.77262	3.07713	4.87514	2.36474	3.8441	2.71758	3.53834	4.62411	3.71825	4.65521	4.18686	3.5927	3.48663	3.78062	4.07734	3.87037	3.14971	3.87356	2.45802	3.78735	
0.588008	0.725849	0.606515	0.649089	0.612789	0.489005	0.869077	0.575184	0.593263	0.541323	0.749106	0.517549	0.869513	0.516853	0.589006	0.577139	0.552867	0.823715	0.557683	0.747474	0.796246	0.668651	0.714661	0.686749	0.91601	0.720353	0.834206	0.715299	0.683873	0.670836	
0.0452566	0.0602045	0.0420238	0.0407586	0.0540057	0.0307284	0.0474365	0.0288716	0.050841	0.0426247	0.0486943	0.034119	0.047136	0.0383239	0.0368901	0.0312667	0.0308423	0.0624845	0.0346381	0.0599866	0.0427723	0.0341659	0.0460621	0.0478875	0.0579327	0.0365514	0.0487441	0.0389109	0.0330156	0.0420879	
0.00046534	0.000243148	0.000414181	0.000365165	0.00037374	0.000494341	0.000562497	0.000351078	0.000606164	0.000398381	0.000426997	0.000460318	0.000212723	0.000453329	0.000410674	0.000362523	0.00030144	0.000632246	0.000339196	0.000324597	0.00039692	0.000591501	0.000476622	0.000383994	0.00054764	0.00052743	0.000473562	0.000473852	0.000365317	0.000360267	
9.56252e-008	8.47942e-008	2.04515e-007	1.38454e-007	2.84438e-007	1.77133e-007	1.78204e-007	7.80173e-008	1.90679e-007	1.86593e-007	2.329e-007	1.2576e-007	1.74115e-007	7.01081e-008	8.07444e-008	1.8551e-007	8.96734e-008	1.727e-007	1.2474e-007	1.44631e-007	5.58294e-008	1.65098e-007	1.35411e-007	1.07311e-007	9.36598e-008	1.0107e-007	2.33802e-007	9.03791e-008	9.00299e-008	7.97518e-008	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53161	53150	55227	53958	55578	53830	54146	53562	54026	53929	54638	53436	53349	53111	52921	53715	53234	53864	53251	53855	52023	54282	53999	53475	53154	52791	54002	53219	53149	52583	
